id,name,brand,flavor,nicotine,pack_size,price,e-shop,stock,url,date
kurwa-collection-kola-25,KURWA COLLECTION COLA CHERRY VANILLA,KURWA COLLECTION,kola,25,,139,nicopods.cz,True,https://www.nicopods.cz/kurwa-collection/kurwa-collection-fresh-cola-vanilla-cherry/,20/04/2025
dope-limetka-16,DOPE LIME SMASH STRONG,DOPE,limetka,16,,129,nicopods.cz,True,https://www.nicopods.cz/dope/dope-lime-smash-strong/,20/04/2025
speacial-edition-cola-16,77 COLA & CHERRY,SPEACIAL EDITION,cola,16,,139,nicopods.cz,True,https://www.nicopods.cz/77-speacial-edition/77-cola-cherry/,20/04/2025
velo-mata-12,VELO MINI BRIGHT SPEARMINT,VELO,máta,12,,150,nicopods.cz,True,https://www.nicopods.cz/lyft-velo/velo-mini-spiffy-spearmint/,20/04/2025
velo-lesni-ovoce-12,VELO MINI ICY BERRIES,VELO,lesní ovoce,12,,150,nicopods.cz,True,https://www.nicopods.cz/lyft-velo/velo-berry-frost-mini/,20/04/2025
ace-mata-16,ACE EUCALYPTUS,ACE,máta,16,,149,nicopods.cz,True,https://www.nicopods.cz/ace/ace-eucalyptus/,20/04/2025
ace-lekorice-16,ACE LIQUORICE,ACE,lékořice,16,,149,nicopods.cz,True,https://www.nicopods.cz/ace/ace-liquorice/,20/04/2025
ace-citron-16,ACE GREEN LEMON,ACE,citrón,16,,149,nicopods.cz,True,https://www.nicopods.cz/ace/ace-citrus/,20/04/2025
dope-mata-16,DOPE ICE COOL XTRA STRONG,DOPE,máta,16,,129,nicopods.cz,True,https://www.nicopods.cz/dope/dope-ice-cool-xtra-strong/,20/04/2025
dope-mango-16,DOPE ICE MANGO XTRA STRONG,DOPE,mango,16,,129,nicopods.cz,True,https://www.nicopods.cz/dope/dope-ice-mango-xtra-strong/,20/04/2025
speacial-edition-vanilka-16,77 COLA & VANILLA,SPEACIAL EDITION,vanilka,16,,99,nicopods.cz,True,https://www.nicopods.cz/77-speacial-edition/77-cola-vanilla/,20/04/2025
dark-edition-cerny-rybiz-16,77 BLACK CURRANT,DARK EDITION,černý rybíz,16,,139,nicopods.cz,True,https://www.nicopods.cz/77-dark-edition/77-black-currant/,20/04/2025
dark-edition-malina-16,77 RASPBERRY,DARK EDITION,malina,16,,139,nicopods.cz,True,https://www.nicopods.cz/77-dark-edition/77-raspberry/,20/04/2025
white-fox-mata-16,WHITE FOX PEPPERED MINT,WHITE FOX,máta,16,,169,nicopods.cz,True,https://www.nicopods.cz/white-fox/white-fox-peppered-mint/,20/04/2025
dark-edition-jahoda-16,77 STRAWBERRY,DARK EDITION,jahoda,16,,139,nicopods.cz,True,https://www.nicopods.cz/77-dark-edition/77-strawberry/,20/04/2025
velo-citrus-mix-15,VELO TROPICAL MANGO,VELO,citrus mix,15,,150,nicopods.cz,True,https://www.nicopods.cz/lyft-velo/velo-tropic-breeze-x-strong/,20/04/2025
pablo-mata-16,PABLO ICE COLD MINI,PABLO,máta,16,,149,nicopods.cz,True,https://www.nicopods.cz/pablo/pablo-ice-cold-mini/,20/04/2025
velo-mata-15,VELO FREEZING PEPPERMINT,VELO,máta,15,,150,nicopods.cz,True,https://www.nicopods.cz/lyft-velo/velo-freeze-x-strong/,20/04/2025
velo-mata-14,VELO CRISPY PEPPERMINT,VELO,máta,14,,150,nicopods.cz,True,https://www.nicopods.cz/lyft-velo/velo-crispy-peppermint/,20/04/2025
white-fox-mata-16,WHITE FOX DOUBLE MINT,WHITE FOX,máta,16,,169,nicopods.cz,True,https://www.nicopods.cz/white-fox/white-fox-double-mint/,20/04/2025
killa-boruvka-16,KILLA BLUEBERRY,KILLA,borůvka,16,,139,nicopods.cz,True,https://www.nicopods.cz/killa/killa-extra-strong-blueberry/,20/04/2025
killa-vodni-meloun-16,KILLA WATERMELON,KILLA,vodní meloun,16,,139,nicopods.cz,True,https://www.nicopods.cz/killa/killa-extra-strong-watermelon/,20/04/2025
pablo-mata-16,PABLO ICE COLD,PABLO,máta,16,,149,nicopods.cz,True,https://www.nicopods.cz/pablo/pablo-ice-cold/,20/04/2025
white-fox-mata-16,WHITE FOX,WHITE FOX,máta,16,,169,nicopods.cz,True,https://www.nicopods.cz/white-fox/white-fox-2/,20/04/2025
kurwa-collection-jablko-15,KURWA COLLECTION APPLE KIWI,KURWA COLLECTION,jablko,15,,139,nicopods.cz,True,https://www.nicopods.cz/kurwa-collection/kurwa-collection-apple-kiwi/,20/04/2025
pablo-mata-16,PABLO ICE COLD,PABLO,máta,16,,149,nicopods.cz,True,https://www.nicopods.cz/pablo/pablo-ice-cold/,20/04/2025
kurwa-collection-mango-15,KURWA COLLECTION MANGO RASPBERRY,KURWA COLLECTION,mango,15,,139,nicopods.cz,True,https://www.nicopods.cz/kurwa-collection/kurwa-collection-mango-raspberry/,20/04/2025
kurwa-collection-mata-15,KURWA COLLECTION FROST ICE,KURWA COLLECTION,máta,15,,139,nicopods.cz,True,https://www.nicopods.cz/kurwa-collection/kurwa-collection-frost-ice/,20/04/2025
dark-edition-jahoda-16,77 STRAWBERRY,DARK EDITION,jahoda,16,,139,nicopods.cz,True,https://www.nicopods.cz/77-dark-edition/77-strawberry/,20/04/2025
pablo-mata-16,PABLO ICE COLD MINI,PABLO,máta,16,,149,nicopods.cz,True,https://www.nicopods.cz/pablo/pablo-ice-cold-mini/,20/04/2025
goat-mata-16,GOAT CRYSTAL ICE STRONG #16,GOAT,máta,16,,129,nicopods.cz,True,https://www.nicopods.cz/goat/goat-crystal-ice-strong--16/,20/04/2025
kurwa-collection-jahoda-15,KURWA COLLECTION STRAWBERRY GUM,KURWA COLLECTION,jahoda,15,,139,nicopods.cz,True,https://www.nicopods.cz/kurwa-collection/kurwa-collection-strawberry-gum/,20/04/2025
dark-edition-vodni-meloun-16,77 WATERMELON ICE,DARK EDITION,vodní meloun,16,,139,nicopods.cz,True,https://www.nicopods.cz/77-dark-edition/77-watermelon-ice/,20/04/2025
kurwa-collection-cerny-rybiz-15,KURWA COLLECTION BLACK CURRANT PURPLE GRAPE,KURWA COLLECTION,černý rybíz,15,,139,nicopods.cz,True,https://www.nicopods.cz/kurwa-collection/kurwa-collection-black-currant-purple-grape/,20/04/2025
killa-kola-16,KILLA COLA,KILLA,kola,16,,139,nicopods.cz,True,https://www.nicopods.cz/killa/killa-extreme-strong-cola/,20/04/2025
killa-mata-16,KILLA COLD MINT,KILLA,máta,16,,139,nicopods.cz,True,https://www.nicopods.cz/killa/killa-extreme-strong-cold-mint/,20/04/2025
ace-mata-16,ACE EXTREME COOL,ACE,máta,16,,149,nicopods.cz,False,https://www.nicopods.cz/ace/ace-extreme-cool/,20/04/2025
goat-boruvka-16,GOAT BLUEBERRY STRONG #16,GOAT,borůvka,16,,129,nicopods.cz,False,https://www.nicopods.cz/goat/goat-blueberry-strong--16/,20/04/2025
goat-mata-16,GOAT FROSTED STRONG #16,GOAT,máta,16,,129,nicopods.cz,False,https://www.nicopods.cz/goat/goat-frosted-strong--16/,20/04/2025
kurwa-collection-ananas-15,KURWA COLLECTION PINACOLADA MANGO,KURWA COLLECTION,ananas,15,,139,nicopods.cz,False,https://www.nicopods.cz/kurwa-collection/kurwa-collection-cocopilada-mango/,20/04/2025
